Country,latitude,longitude,Year,Maize,Rice,Yams,Wheat,Tomatoes,Tea,Sweet potatoes,Sunflower seed,Sugar cane,Soybeans,Rye,Potatoes,Oranges,"Peas, dry",Palm oil,Grapes,Coffee,Cocoa beans,"Meat, chicken",Bananas,Avocados,Apples,Crops,Fruits and Vegs,Spices,Coffee Tea Cocoa,Livestock,All Categories Total,AvgTemperature,Date,Weather Condition,Max Temp (°C),Min Temp (°C),Total Precipitation (mm),Max Wind Speed (kph),Agricultural Alerts
Uzbekistan,41.0,64.0,2021,590016.0,2116125.2,159413.716,12797144.4,182918.0,8573.4,29.6,879242.2,2109705.26,15211650.0,56359.0,4772327.2,2158843.534,79987.652,158548.2,624387.8,84765.564,810.8,3600.0,1109227.912,11471.0,244798.8,38692012.576000005,4331647.046,238535.852,94149.764,3600.0,43359945.238000005,13.84,2025-05-25,Sunny,32.9,21.0,0.0,10.8,Low Precipitation (Drought Risk)
Pakistan,30.0,70.0,2021,10634831.0,1375959.0,246952.206,2326000.0,343900.0,3650.6,1722.0,276453.84,4576900.0,6680.298,2036086.2,1000.0,450000.0,66842.246,10460418.4,14492401.4,178.242,1898.8,1.6,11479045.0,548570.264,1639435.6,21482584.544,28953352.264,10527260.646,5727.642,1.6,60968926.696,8.147,2025-05-25,Sunny,43.7,29.5,0.0,21.2,Low Precipitation (Drought Risk)
Australia,-27.0,133.0,2021,305655.88,26777904.0,556647.0,1970363.6,55068.13,543776.0,2066.0,56800.0,364555.0,2814321.0,269.0,767261.1,25841.0,9126.0,167358.0,102.0,35937.99,100.0,1191322.0,798012.0,202541.0,317078.0,33615842.58,1398642.13,176484.0,579813.99,1191322.0,36962104.7,18.99,2025-05-25,Cloudy ,17.0,7.5,0.0,15.8,Low Precipitation (Drought Risk)
Thailand,15.0,100.0,2021,5300000.0,54215017.57,230298.664,2133386.0,2300000.0,83290.4,58805.916,423832.8,27937516.0,218421.6,416000.0,190964.0,186852.4,141064.6,214713.98,1279579.12,249828.6,2086.4,416.0,712421.498,266926.338,570164.4,91124242.54999998,5315943.756,355778.58,335205.4,416.0,97131586.28599998,26.96,2025-05-25,Patchy rain nearby,34.9,29.4,0.88,16.2,Low Precipitation (Drought Risk)
Romania,46.0,25.0,2021,14820690.0,830000.0,13163.2,32129760.0,180513.0,145.0,830.0,5839.8,967611.6,37857241.6,137059.6,119834.0,383500.0,140670.0,8115775.4,3049459.6,39616.79,624.042,6314210.0,15.93,17978.0,44671.4,86882029.8,3676137.93,8256445.4,40385.832,6314210.0,105169208.962,10.34,2025-05-25,Patchy rain nearby,13.9,11.4,3.76,15.1,Low Precipitation (Drought Risk)
Ecuador,-2.0,-77.5,2021,1699369.6,1701.29,31136000.0,2754740.0,3642.17,64090.4,70.0,4000.0,4192220.0,12834215.0,4000.0,376000.0,21000.0,92509.37,35000.0,1028372.9,1300.0,292000.0,118350.0,0.0,163323.0,593.0,53002315.89,1216931.07,127509.37,357390.4,118350.0,54822496.73,21.12,2025-05-25,Patchy rain nearby,18.9,9.7,0.96,7.2,Low Precipitation (Drought Risk)
Philippines,13.0,122.0,2021,8300322.0,20722.0,1827.4,111872930.0,2437.0,94696.6,82632950.0,13171.0,1600000.0,756.0,14215792.8,224700.0,1661111.0,504010.0,123800.0,509211.0,7911.0,5054.6,5260.0,1525.0,161127.4,13256.286,218883171.2,2348667.686,627810.0,107662.2,5260.0,221972571.086,26.36,2025-05-25,Patchy rain nearby,34.0,27.6,1.26,13.7,Low Precipitation (Drought Risk)
Peru,-10.0,-76.0,2021,1582135.0,2964828.0,2436589.512,29718000.0,5440.0,1712.8,777093.0,1935924.0,0.0,138019.8,586828.8,3289722.0,145000.0,17517.8,4200.0,7298646.1,9493.8,11820.8,130.0,47500.0,83822.8,760.0,43429140.112,7581168.899999999,21717.8,23027.4,130.0,51055184.21199999,15.91,2025-05-25,Sunny,20.7,16.8,0.0,13.3,Low Precipitation (Drought Risk)
Poland,52.0,20.0,2021,7321910.0,806800.0,504458.0,452089.0,658777.0,109748.0,56129.0,33228.8,4227500.0,1536.2,208680.516,260.0,9513600.0,1143305.96,73595.0,264300.18,516.0,615.6,2000.0,212531.0,153457.498,372671.4,13612591.516,11175337.078,1216900.96,110879.6,2000.0,26117709.154000003,8.664,2025-05-25,Partly Cloudy ,19.5,7.7,0.0,17.3,Low Precipitation (Drought Risk)
Argentina,-34.0,-64.0,2021,60525804.0,477693380.0,200000.0,188681200.0,18967824.0,1653.0,74846.99,3347013.0,18708304.0,319.0,283601.0,52048230.0,25836080.0,44413.0,1760.0,7774352.0,1910646.0,336326.0,2055000.0,180290.0,2040.0,10454135.0,801562697.99,63214721.0,46173.0,2248625.0,2055000.0,869127216.99,15.97,2025-05-25,Sunny,20.7,13.7,0.0,7.2,Low Precipitation (Drought Risk)
South Africa,-29.0,24.0,2021,16870704.0,571049540.0,211839.658,230786548.0,633243.0,1270.2,15576.182,3877463.94,21698304.0,23.568,310517.2,200506.0,6020818.8,114279.4,9738.8,11228668.2,1373131.8,384680.0,1296.0,1441441.1,2868.0,18062172.6,845021022.5480001,37389211.7,124018.2,1759082.0,1296.0,884294630.4480002,17.7,2025-05-25,Sunny,20.8,10.9,0.0,5.0,Low Precipitation (Drought Risk)
Canada,60.0,-95.0,2021,13983859.0,171318860.0,800.0,96520.0,3011308.2,218513.0,10366.46,34671612.0,1903000.0,10541804.0,10210326.0,13000.0,40000.0,182540.0,4400.0,492.0,17202.0,822000.0,17203.52,49725.0,31000.0,13118334.0,242750147.46,16250859.2,186940.0,1057715.0,17203.52,260262865.18,1.457,2025-05-25,Patchy rain nearby,12.7,3.5,0.71,12.6,Low Precipitation (Drought Risk)
Uganda,1.0,32.0,2021,2800000.0,38735.0,21024188.88,2727560.0,84100.0,47531.4,134826.68,13618.0,2009056.0,1280.0,10948.6,297921600.0,575756.85,218929.368,34195.2,35647.6,1444042.434,219826.1228,25400.0,7249.6,97652.8,29132.6,326681813.16,829539.45,253124.568,1711399.9567999998,25400.0,329501277.1348,23.23,2025-05-25,Partly Cloudy ,26.7,19.2,0.04,16.2,Low Precipitation (Drought Risk)
Kenya,1.0,38.0,2021,3303000.0,105.57,207093.6,250320.0,3015924.8,359.0,12400.0,4400.0,21946708.0,215000.0,76025.194,112000.0,210313.62,1639.0,2497.756,16992.0,3974031.5,1602.908,698000.0,8644.0,370.0,1123.0,26127052.364,3253367.42,4136.755999999999,3975993.408,698000.0,34058549.948,23.19,2025-05-25,Patchy rain nearby,21.6,13.9,0.17,10.4,Low Precipitation (Drought Risk)
Spain,40.0,-4.0,2021,4597660.0,3659279.86,713182.06,68301098.8,248392.0,742358.8,19332.218,2248198.282,11663267.01,209903.0,179520.532,4600000.0,700504.4,114813.2,5450.0,28948.2,222436.2,226.6,400.0,420399.8,119712.856,84571.984,96191441.762,1602529.2399999998,120263.2,965021.6,400.0,98879655.802,14.45,2025-05-25,Sunny,25.0,14.7,0.0,13.0,Low Precipitation (Drought Risk)
Kazakhstan,48.0,68.0,2021,1129508.5,405385.0,23932684.4,100.0,155602.0,447484.0,3100.0,52368.0,160189650.0,800.0,230580.8,275000.0,4079678.0,2500.0,39891.2,158158.0,154190.39,1996322.4,2736.0,306760.0,72.65,66574.0,186219176.7,4766844.65,42391.2,2597996.79,2736.0,193629145.34,7.299,2025-05-25,Partly Cloudy ,14.6,8.3,0.04,21.2,Low Precipitation (Drought Risk)
Japan,36.0,138.0,2021,166.5,0.0,5062278.412,38159276.0,256770.0,126.0,63235.05,1550720.0,574000.0,5583.0,460847.088,3573873.0,600.0,21689.0,128199.8,7846207.5,16500.0,157709.032,117500.0,34000.0,92936.0,480.0,49449979.05,8230993.5,149888.8,174335.032,117500.0,58122696.38199999,13.75,2025-05-25,Patchy rain nearby,18.6,14.6,0.82,17.6,Low Precipitation (Drought Risk)
Ukraine,49.0,32.0,2021,42109850.0,38735.0,21024188.88,2727560.0,8672150.0,48444.2,134826.68,13618.0,2009056.0,1280.0,10948.6,330779000.0,575756.85,218929.368,34195.2,35647.6,1444042.434,219826.1228,80000.0,7249.6,97652.8,29132.6,398849063.16,9417589.45,253124.568,1712312.7568,80000.0,410312089.9348,9.221,2025-05-25,Patchy rain nearby,12.2,8.4,3.09,18.4,Low Precipitation (Drought Risk)
Brazil,-10.0,-55.0,2021,88461944.0,1458247.8,331527.84,19888224.0,103145.0,189.0,50931.44,5161.0,334000.0,450.0,5533432.0,166772.0,48000.0,56987.0,0.0,421180.0,18410.0,65042.51,1593.62,110000.0,43200.0,2259.3,116230690.08,727784.3,56987.0,83641.51000000001,1593.62,117100696.51,24.48,2025-05-25,Sunny,27.9,17.3,0.0,17.3,Low Precipitation (Drought Risk)
Israel,31.5,34.75,2021,68224.0,2036641.0,32744786.0,85400.0,788000.0,427065.4,3083067.2,650000.0,134588700.0,100078.0,6347351.2,1379223.0,11830.28,35000.0,8685.6,127130.0,184.4,2695981.0,7098960.0,60000.0,41217.0,127644.0,181083470.4,1155821.28,43685.6,3123230.8,7098960.0,192505168.08,21.15,2025-05-25,Partly Cloudy ,27.2,14.8,0.0,13.3,Low Precipitation (Drought Risk)
China,35.0,105.0,2021,272552000.0,314780.0,49826.0,13631.0,17500.0,190.6,15681.0,418793.0,6834076.0,348672.0,800.0,0.0,55000.0,3810525.8,510798.0,9580758.0,10.48,2000.0,6155.65,20046.84,88.19,12152076.0,280548259.0,21825469.03,4321323.8,2201.08,6155.65,306703408.55999994,13.44,2025-05-25,Sunny,30.1,18.4,0.0,11.5,Low Precipitation (Drought Risk)
Iraq,33.0,44.0,2021,374400.0,52077.0,40997.0,2000.0,4480.0,60184.6,3118.37,10000.0,126000.0,407.45,36788.4,28.0,84000.0,37476.0,128800.0,515000.0,0.0,31993.0,2250.0,245930.0,79661.0,1160890.0,645816.22,2089961.0,166276.0,92177.6,2250.0,2996480.82,24.86,2025-05-25,Sunny,41.3,29.8,0.0,33.8,Low Precipitation (Drought Risk)
Indonesia,-5.0,120.0,2021,20010000.0,318661730.0,255.0,209830.0,103700.0,96886.4,780090.0,13577.0,1408980.0,10537080.0,38193584.0,95170.0,1080561.1,165.07,63934.0,879487.0,6036.67,624748.44,158.9,2934524.0,382467.0,470.0,389910296.0,5381209.1,64099.07,727671.5099999999,158.9,396083434.58,25.66,2025-05-25,Patchy rain nearby,32.6,26.9,0.21,16.6,Low Precipitation (Drought Risk)
Sudan,15.0,30.0,2021,23363.99,1943252.88,8796.8,3034584.6,203188.0,408465.0,3859733.1,5313926.0,158539.852,383082.8,198555.294,92655010.0,2434161.5,428316.97,273920.0,4174033.9,96942.6,18523.8,5400.0,301486.966,30830.73,1399796.76,107578845.316,8543497.856,702236.97,523931.4,5400.0,117353911.542,29.0,2025-05-25,Sunny,42.9,32.3,0.0,19.8,Low Precipitation (Drought Risk)
Chile,-30.0,-71.0,2021,793821.75,566400.0,1465.79,102965304.0,200.0,16447.6,41733.83,5000265.0,88792210.0,1158712.0,108500.0,25363.0,2213.0,147682.0,1752302.4,33648340.0,5.0,915.0,230758.84,804591.0,50.0,12152076.0,199453775.37,46607470.0,1899984.4,17367.6,230758.84,248209356.21,9.977,2025-05-25,Sunny,22.7,9.7,0.0,4.7,Low Precipitation (Drought Risk)
India,20.0,77.0,2021,31650000.0,8803175.0,7346.0,1286332.0,11050.0,360.0,780.0,515.0,5238413.0,99.95,4688054.0,3087000.0,5922585.5,98300.0,627.6,192.0,46.35,16000.0,990.0,9167667.0,22132.0,441575.0,54761714.95,15565201.5,98927.6,16406.35,990.0,70443240.39999999,22.84,2025-05-25,Sunny,45.1,34.2,0.0,14.8,Low Precipitation (Drought Risk)
Myanmar,22.0,98.0,2021,2300000.0,70200.0,23408322.0,2105000.0,71576.69,440784.2,1091183.0,6667466.4,152894660.0,47257210.0,160787.4,73000.0,20.0,144368.0,39891.2,270304.6,884025.288,1946160.6,15600.0,6000.0,133.254,6699.206,236027828.8,354733.75,184259.2,3270970.088,15600.0,239853391.838,25.24,2025-05-25,Moderate rain,30.7,26.3,9.01,17.6,No Significant Risks
Bolivia,-17.0,-65.0,2021,1224719.6,1812000.0,3810.0,631.08,0.0,10.0,6937.0,100000.0,23687936.0,14731500.0,564675.0,261690.0,321777.16,2000000.0,225000.0,2358200.0,0.3,48860.0,1208.0,6470.0,35000.0,1721416.2,42393898.68,4442863.359999999,2225000.0,48870.3,1208.0,49111840.34,18.16,2025-05-25,Sunny,12.9,1.3,0.01,15.1,Low Precipitation (Drought Risk)
Morocco,32.0,-5.0,2021,48637.3,170216.0,74358.066,580.0,910000.0,469993.8,12600.0,228320.0,838060000.0,1537921.9,240600.52,1642.0,1700.0,800.0,28805.246,1080000.0,7104.6,6742.766,8401090.0,28539.0,21020.0,1994.0,840374875.786,2043253.0,29605.246,483841.166,8401090.0,851332665.1980001,18.76,2025-05-25,Sunny,21.7,18.3,0.0,16.9,Low Precipitation (Drought Risk)
Mexico,23.0,-102.0,2021,27503478.0,18170.0,401684.894,1744.0,1245000.0,96120.0,250.0,463244.4,94960744.0,190429310.0,260323.2,10968420.0,14883.0,255146.0,60000.0,6270693.0,6083218.0,5820.0,53300.0,1180000.0,2376648.5,279500.0,325007368.494,11366724.5,315146.0,6185158.0,53300.0,342927696.994,21.06,2025-05-25,Patchy rain nearby,23.7,16.4,4.86,9.0,Low Precipitation (Drought Risk)
Colombia,4.0,-72.0,2021,1591400.0,33585.0,156103.2,144885.0,22279.0,160435.2,125582180.0,24029.0,4404850.0,56400.0,168.0,111760.0,748773.75,1908332.9,718580.0,1368000.0,219.0,728046.0,13216000.0,429.65,9570.0,1823123.4,132105360.2,3972175.8,2626912.9,888700.2,13216000.0,152809149.1,22.98,2025-05-25,Patchy rain nearby,13.8,10.2,1.49,6.1,Low Precipitation (Drought Risk)
Germany,51.0,9.0,2021,4462400.0,2280764.0,2147.0,156400.0,2940.0,422549.0,110576.93,3569150.0,92000.0,18022.0,601991.0,138832220.0,1771097.0,22220.0,24497.6,5698336.0,44.0,119.0,14429.0,30.0,2073.0,45205.0,150125670.93,7519681.0,46717.6,422712.0,14429.0,158129210.53,9.396,2025-05-25,Patchy rain nearby,13.8,10.5,1.37,19.1,Low Precipitation (Drought Risk)
Ghana,8.0,-2.0,2021,3500000.0,206000.0,1300.0,16184871.0,304814.06,320664.8,23272786.0,437602.0,171642050.0,447754.62,263400.0,6323.0,143292.0,19432.0,55038.2,195888.0,40551.0,333957.0,100860.0,135000.0,16800.0,2914391.2,215962086.62,3710185.26,74470.2,695172.8,100860.0,220542774.88,27.89,2025-05-25,Moderate rain,27.8,23.0,13.96,23.4,Heavy Rain (Flooding Risk)
Greece,39.0,22.0,2021,1322940.0,1245900.0,800.0,4317391.0,5200.0,369613.2,24006.83,113000.0,9562455.0,0.0,366200.0,1512428.0,124000.0,369867.0,261400.0,2640715.5,3720.0,333957.0,1049150.0,640.0,77556.0,220000.0,18465120.83,3068111.5,631267.0,707290.2,1049150.0,23920939.53,16.22,2025-05-25,Partly Cloudy ,29.3,19.3,0.0,13.3,Low Precipitation (Drought Risk)
Nigeria,10.0,8.0,2021,12745000.0,2900.0,1339345.0,199000.0,337526.0,2586.2,2353314.0,55536.0,1029840.0,3622551.4,10328099.0,1850.0,4232763.0,89480.0,4090.0,14127.876,136133.8,27101.102,1441905.0,2873672.0,80609.488,15887655.6,31677435.4,23426353.964,93570.0,165821.102,1441905.0,56805085.46599999,27.34,2025-05-25,Patchy rain nearby,31.4,21.4,0.21,10.8,Low Precipitation (Drought Risk)
New Zealand,-41.0,174.0,2021,209281.0,1614412.0,24874800.0,93719040.0,8925860.0,1510307.4,842661.0,653933.8,7000000.0,6457168.2,1116969.72,919200.0,467198.0,56389.0,14000.0,522719.8,10675.2,155600.0,4000.0,42000.0,271591.974,198477.044,137407465.72,10427846.818,70389.0,1676582.6,4000.0,149586284.13799998,12.09,2025-05-25,Sunny,13.2,8.7,0.0,15.8,Low Precipitation (Drought Risk)
Saudi Arabia,25.0,45.0,2021,59000.0,1262600.0,5925195.6,229775.0,18000.0,24485.2,851139.28,7052599.4,9051178.64,601209.4,70119.8,738265.0,2198.0,1197656.0,9543.0,66358.736,54832.0,1237239.8,5332.0,129.0,8802.4,56140.0,25841082.12,151628.136,1207199.0,1316557.0,5332.0,28521798.256,26.9,2025-05-25,Sunny,43.9,31.7,0.0,20.5,Low Precipitation (Drought Risk)
United States,38.0,-97.0,2021,383943000.0,55132285.2,118800.0,110.0,93928720.0,66.0,11472.4,2058552.62,4971536.2,81654.8,12326464.0,2525383.0,176836.4,769365.35,6640.0,617110.072,4127.6,15000.0,361499.0,15333727.0,1219.74,18932.0,461169258.22,110076545.212,776005.35,19193.6,361499.0,572402501.382,12.58,2025-05-25,Sunny,30.4,21.9,0.0,15.1,Low Precipitation (Drought Risk)
Netherlands,52.5,5.75,2021,171420.0,123519.0,9654.586,86110.0,66287.96,766.2,1434402.0,89180.0,285.0,358996.2,1142391.36,14154907.0,16241979.0,2507.8,299971.6,86183.2,435743.0,1061989.4,3756.0,23745.24,5300.0,436498.6,17570865.146,16859994.0,302479.4,1498498.6,3756.0,36235593.146,10.36,2025-05-25,Patchy rain nearby,17.2,12.9,1.35,28.1,Low Precipitation (Drought Risk)
Bangladesh,24.0,90.0,2021,4116438.0,83332.0,190000.0,11000.0,368121.0,504853.0,14400.0,1499.41,8731676.0,700.0,341300.0,3296077.0,91634.0,22621.0,8750.0,42012.0,871774.0,900.0,8222.25,2439.0,55000.0,52251.92,16786422.41,611457.92,31371.0,1377527.0,8222.25,18815000.58,25.85,2025-05-25,Patchy rain nearby,35.2,28.2,1.73,16.6,Low Precipitation (Drought Risk)
Belgium,50.8333,4.0,2021,449890.0,11060741.0,3800.0,240533.0,259535.0,23600.0,130.0,1943980.0,506732.97,600.0,219.0,171.0,2717346.0,43380.0,250573.0,260672.0,4066.0,700.0,14934.0,6689179.0,51351.0,23517.0,14206796.97,10001600.0,293953.0,28366.0,14934.0,24545649.97,10.16,2025-05-25,Patchy rain nearby,15.7,10.3,1.39,25.9,Low Precipitation (Drought Risk)
France,46.0,2.0,2021,15358300.0,3.0,12429.0,332400.0,100691.0,458358.2,40535.0,34649.0,6036636.0,247500.0,125870.0,402966.0,1004631.0,12000.0,17517680.0,338130.0,119982.02,2900.0,10075471.0,3125000.0,28385.3,466.0,22591288.0,4597303.3,17529680.0,581240.22,10075471.0,55374982.52,12.87,2025-05-25,Patchy rain nearby,16.5,11.8,0.79,20.9,Low Precipitation (Drought Risk)
Ethiopia,8.0,38.0,2021,10722000.0,32826.48,361443.8,8126800.0,16326259.0,36672.0,1300.0,453918.0,186357600.0,1066590.0,7124000.0,51085360.0,154475.0,7500.0,70083.0,1083200.0,79882.0,551.0,48000.0,374000.0,762336.0,142445.0,265331838.28,18842715.0,77583.0,117105.0,48000.0,284417241.28,23.0,2025-05-25,Sunny,27.1,12.3,0.0,17.6,Low Precipitation (Drought Risk)
Tanzania,-6.0,35.0,2021,7039000.0,59015603.64,664927.2,23410593.11,260000.0,400142.8,23706.172,876275.1,53787185.0,48489.4,6242369.62,102287.0,490555.2,297186.18,76378.352,2241301.8,37701.4,164609.024,368.0,5189777.4,111386.946,3182170.4,151210436.242,11475191.746,373564.532,602453.224,368.0,163662013.74400002,23.8,2025-05-25,Sunny,27.6,14.4,0.0,17.3,Low Precipitation (Drought Risk)
Algeria,28.0,3.0,2021,18491.0,314.29,183410.81,2168386.0,23681040.0,1110.0,124.19,84.28,951172.94,30993380.0,135945.0,4360880.0,1137191.0,193999.0,51108496.0,630022.0,3358628.2,769204.4,257644.62,137.29,1240356.5,522317.0,38812188.51,27211063.79,51302495.0,4128942.6,257644.62,121712334.52,19.77,2025-05-25,Patchy rain nearby,20.5,16.4,0.13,18.7,Low Precipitation (Drought Risk)
